# IntSight report packet log for interface s9-eth2.
[ 191=> 159:77] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 191=> 159:78] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 191=> 160:79] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 145=> 161:1023] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0008=>0004(004) bits=00037760=>00018880
[ 191=> 160:82] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 144=> 161:153] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 161:154] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 153=> 162:1023] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0012=>0005(007) bits=00056640=>00023600
[ 144=> 161:155] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 161:156] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 161:157] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 160:158] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 144=> 160:159] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 152=> 160:133] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 144=> 161:160] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 160:161] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 144=> 161:162] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 160:163] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 144=> 161:164] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 144=> 161:165] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 152=> 160:134] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 152=> 161:135] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 152=> 161:136] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 152=> 161:137] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 152=> 161:138] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 152=> 161:139] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 152=> 161:140] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 169=> 162:1023] (8 => 9, p=0, len=2, cps=   c-, sps=   --) hd=000 pkts=0002=>0001(001) bits=00009440=>00004720
[ 216=> 163:19] (2 => 9, p=0, len=5, cps=-ccc-, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 216=> 163:20] (2 => 9, p=0, len=5, cps=-ccc-, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 216=> 164:26] (2 => 9, p=0, len=5, cps=-cccc, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 224=> 163: 8] (1 => 9, p=0, len=5, cps=-ccc-, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 161:120] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 147=> 164:1023] (11 => 9, p=0, len=2, cps=   -c, sps=   --) hd=000 pkts=0004=>0002(002) bits=00018880=>00009440
[ 168=> 161:121] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 208=> 161:40] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 168=> 160:122] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 162:153] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 162:154] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 161:41] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 146=> 163:155] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:156] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:157] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:158] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 161:42] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 146=> 163:159] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 161:43] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 168=> 160:123] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:160] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:161] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:162] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 160:124] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 160:125] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:163] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 161:126] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 176=> 161:109] (7 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 146=> 163:164] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 162:44] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 146=> 163:165] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 162:45] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 208=> 162:46] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 176=> 161:110] (7 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 176=> 161:111] (7 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 162:47] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 184=> 161:88] (6 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
