epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
165,174,9,7,6,0,3,---,---,000,1,1,0,1478,1478
165,174,10,7,6,0,3,---,---,000,1,1,0,1478,1478
158,174,1023,8,6,0,2,--,--,000,6,5,1,3540,2950
198,174,1023,3,6,0,2,--,--,000,2,1,1,1180,590
158,174,1023,8,6,0,2,--,--,000,7,1,6,4130,590
198,174,1023,3,6,0,2,--,--,000,4,2,2,2360,1180
166,174,1023,7,6,0,3,---,---,000,1,1,0,590,590
198,174,1023,3,6,0,2,--,--,000,5,1,4,2950,590
166,174,1023,7,6,0,3,---,---,000,2,1,1,1180,590
181,173,7,5,6,0,2,--,--,000,2,2,0,2956,2956
198,174,3,3,6,0,2,--,--,000,2,2,0,2956,2956
150,174,15,9,6,0,3,---,---,000,2,2,0,2956,2956
198,174,4,3,6,0,2,--,--,000,2,2,0,2956,2956
166,174,9,7,6,0,3,---,---,000,1,1,0,1478,1478
134,174,16,11,6,0,4,----,----,000,2,2,0,2956,2956
166,174,10,7,6,0,3,---,---,000,1,1,0,1478,1478
134,174,17,11,6,0,4,----,----,000,2,2,0,2956,2956
134,174,1023,11,6,0,4,----,----,000,1,1,0,590,590
136,176,1023,11,6,0,4,----,----,000,2,1,1,1180,590
200,176,1023,3,6,0,2,--,--,000,2,1,1,1180,590
168,176,1023,7,6,0,3,---,---,000,4,1,3,2360,590
200,176,1023,3,6,0,2,--,--,000,3,1,2,1770,590
208,176,1023,2,6,0,3,---,---,000,4,1,3,2360,590
158,174,14,8,6,0,2,--,--,000,2,2,0,2956,2956
183,175,7,5,6,0,2,--,--,000,1,1,0,1478,1478
200,176,3,3,6,0,2,--,--,000,1,1,0,1478,1478
200,176,4,3,6,0,2,--,--,000,1,1,0,1478,1478
151,176,15,9,6,0,3,---,---,000,1,1,0,1478,1478
167,176,9,7,6,0,3,---,---,000,1,1,0,1478,1478
167,176,10,7,6,0,3,---,---,000,1,1,0,1478,1478
