epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
142,158,1023,10,8,0,3,---,---,000,6,2,4,3540,1180
174,158,1023,6,8,0,2,--,--,000,6,1,5,3540,590
206,158,3,2,8,0,4,----,----,000,2,2,0,2956,2956
166,158,8,7,8,0,2,--,--,000,2,2,0,2956,2956
166,158,9,7,8,0,2,--,--,000,2,2,0,2956,2956
166,158,10,7,8,0,2,--,--,000,2,2,0,2956,2956
174,158,6,6,8,0,2,--,--,000,2,2,0,2956,2956
134,158,14,11,8,0,3,---,---,000,2,2,0,2956,2956
134,158,15,11,8,0,3,---,---,000,2,2,0,2956,2956
198,158,1023,3,8,0,3,---,---,000,7,1,6,4130,590
214,158,1,1,8,0,4,----,----,000,2,2,0,2956,2956
214,158,2,1,8,0,4,----,----,000,2,2,0,2956,2956
144,160,1023,10,8,0,3,---,---,000,6,3,3,3540,1770
176,160,1023,6,8,0,2,--,--,000,4,1,3,2360,590
190,158,5,4,8,0,4,----,----,000,2,2,0,2956,2956
208,160,3,2,8,0,4,----,----,000,1,1,0,1478,1478
168,160,8,7,8,0,2,--,--,000,1,1,0,1478,1478
176,160,6,6,8,0,2,--,--,000,1,1,0,1478,1478
168,160,9,7,8,0,2,--,--,000,1,1,0,1478,1478
168,160,10,7,8,0,2,--,--,000,1,1,0,1478,1478
136,160,14,11,8,0,3,---,---,000,1,1,0,1478,1478
136,160,15,11,8,0,3,---,---,000,1,1,0,1478,1478
200,160,1023,3,8,0,3,---,---,000,4,1,3,2360,590
216,160,1,1,8,0,4,----,----,000,1,1,0,1478,1478
216,160,2,1,8,0,4,----,----,000,1,1,0,1478,1478
146,162,1023,10,8,0,3,---,---,000,3,1,2,1770,590
178,162,1023,6,8,0,2,--,--,000,1,1,0,590,590
192,160,5,4,8,0,4,----,----,000,1,1,0,1478,1478
210,162,3,2,8,0,4,----,----,000,1,1,0,1478,1478
170,162,8,7,8,0,2,--,--,000,1,1,0,1478,1478
178,162,6,6,8,0,2,--,--,000,1,1,0,1478,1478
170,162,9,7,8,0,2,--,--,000,1,1,0,1478,1478
170,162,10,7,8,0,2,--,--,000,1,1,0,1478,1478
138,162,14,11,8,0,3,---,---,000,1,1,0,1478,1478
138,162,15,11,8,0,3,---,---,000,1,1,0,1478,1478
218,162,1,1,8,0,4,----,----,000,1,1,0,1478,1478
218,162,2,1,8,0,4,----,----,000,1,1,0,1478,1478
202,162,1023,3,8,0,3,---,---,000,5,1,4,2950,590
204,164,1023,3,8,0,3,---,---,000,2,1,1,1180,590
194,162,5,4,8,0,4,----,----,000,1,1,0,1478,1478
212,164,3,2,8,0,4,----,----,000,1,1,0,1478,1478
172,164,8,7,8,0,2,--,--,000,1,1,0,1478,1478
172,164,9,7,8,0,2,--,--,000,1,1,0,1478,1478
180,164,6,6,8,0,2,--,--,000,1,1,0,1478,1478
172,164,10,7,8,0,2,--,--,000,1,1,0,1478,1478
140,164,14,11,8,0,3,---,---,000,1,1,0,1478,1478
140,164,15,11,8,0,3,---,---,000,1,1,0,1478,1478
220,164,1,1,8,0,4,----,----,000,1,1,0,1478,1478
220,164,2,1,8,0,4,----,----,000,1,1,0,1478,1478
180,164,1023,6,8,0,2,--,--,000,3,1,2,1770,590
181,165,1023,6,8,0,2,--,--,000,1,1,0,590,590
196,164,5,4,8,0,4,----,----,000,1,1,0,1478,1478
213,165,3,2,8,0,4,----,----,000,1,1,0,1478,1478
173,165,8,7,8,0,2,--,--,000,1,1,0,1478,1478
181,165,6,6,8,0,2,--,--,000,1,1,0,1478,1478
173,165,9,7,8,0,2,--,--,000,1,1,0,1478,1478
173,165,10,7,8,0,2,--,--,000,1,1,0,1478,1478
141,165,14,11,8,0,3,---,---,000,1,1,0,1478,1478
141,165,15,11,8,0,3,---,---,000,1,1,0,1478,1478
221,165,1,1,8,0,4,----,----,000,1,1,0,1478,1478
221,165,2,1,8,0,4,----,----,000,1,1,0,1478,1478
205,165,1023,3,8,0,3,---,---,000,3,1,2,1770,590
183,167,1023,6,8,0,2,--,--,000,1,1,0,590,590
197,165,5,4,8,0,4,----,----,000,1,1,0,1478,1478
215,167,3,2,8,0,4,----,----,000,1,1,0,1478,1478
175,167,8,7,8,0,2,--,--,000,1,1,0,1478,1478
183,167,6,6,8,0,2,--,--,000,1,1,0,1478,1478
175,167,9,7,8,0,2,--,--,000,1,1,0,1478,1478
143,167,14,11,8,0,3,---,---,000,1,1,0,1478,1478
143,167,15,11,8,0,3,---,---,000,1,1,0,1478,1478
175,167,10,7,8,0,2,--,--,000,1,1,0,1478,1478
223,167,1,1,8,0,4,----,----,000,1,1,0,1478,1478
223,167,2,1,8,0,4,----,----,000,1,1,0,1478,1478
199,167,5,4,8,0,4,----,----,000,1,1,0,1478,1478
217,169,3,2,8,0,4,----,----,000,1,1,0,1478,1478
177,169,8,7,8,0,2,--,--,000,1,1,0,1478,1478
185,169,6,6,8,0,2,--,--,000,1,1,0,1478,1478
177,169,9,7,8,0,2,--,--,000,1,1,0,1478,1478
177,169,10,7,8,0,2,--,--,000,1,1,0,1478,1478
145,169,14,11,8,0,3,---,---,000,1,1,0,1478,1478
145,169,15,11,8,0,3,---,---,000,1,1,0,1478,1478
225,169,1,1,8,0,4,----,----,000,1,1,0,1478,1478
225,169,2,1,8,0,4,----,----,000,1,1,0,1478,1478
201,169,5,4,8,0,4,----,----,000,1,1,0,1478,1478
207,167,1023,3,8,0,3,---,---,000,1,1,0,590,590
399,343,1023,1,8,0,4,----,----,000,7,1,6,686,98
392,344,1023,2,8,0,4,----,----,000,1,1,0,98,98
384,344,1023,3,8,0,3,---,---,000,7,1,6,686,98
376,345,1023,4,8,0,4,----,----,000,8,1,7,784,98
369,345,1023,5,8,0,3,---,---,000,7,1,6,686,98
362,346,1023,6,8,0,2,--,--,000,1,1,0,98,98
354,346,1023,7,8,0,2,--,--,000,7,1,6,686,98
402,346,1023,1,8,0,4,----,----,000,2,1,1,196,98
394,346,1023,2,8,0,4,----,----,000,2,1,1,196,98
386,346,1023,3,8,0,3,---,---,000,2,1,1,196,98
378,346,1023,4,8,0,4,----,----,000,2,1,1,196,98
370,346,1023,5,8,0,3,---,---,000,2,1,1,196,98
362,347,1023,6,8,0,2,--,--,000,6,1,5,588,98
355,347,1023,7,8,0,2,--,--,000,1,1,0,98,98
339,347,1023,9,8,0,2,--,--,000,1,1,0,98,98
331,347,1023,10,8,0,3,---,---,000,1,1,0,98,98
323,347,1023,11,8,0,3,---,---,000,1,1,0,98,98
339,347,1023,9,8,0,2,--,--,000,9,1,8,882,98
332,348,1023,10,8,0,3,---,---,000,4,1,3,392,98
