epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
181,189,1023,5,4,0,2,--,--,000,1,1,0,590,590
197,189,1023,3,4,0,3,---,---,000,4,4,0,2360,2360
173,189,1023,6,4,0,3,---,---,000,1,1,0,590,590
181,189,1023,5,4,0,2,--,--,000,2,1,1,1180,590
173,189,1023,6,4,0,3,---,---,000,2,1,1,1180,590
157,189,1023,8,4,0,4,----,----,000,1,1,0,590,590
141,189,1023,10,4,0,4,----,----,000,1,1,0,590,590
157,189,1023,8,4,0,4,----,----,000,2,1,1,1180,590
133,189,1023,11,4,0,5,-----,-----,000,2,2,0,1180,1180
141,189,1023,10,4,0,4,----,----,000,2,1,1,1180,590
133,189,1023,11,4,0,5,-----,-----,000,6,4,2,3540,2360
183,191,1023,5,4,0,2,--,--,000,1,1,0,590,590
175,191,1023,6,4,0,3,---,---,000,1,1,0,590,590
199,191,1023,3,4,0,3,---,---,000,2,2,0,1180,1180
159,191,1023,8,4,0,4,----,----,000,1,1,0,590,590
206,190,1,2,4,0,2,--,--,000,2,2,0,2956,2956
206,190,2,2,4,0,2,--,--,000,2,2,0,2956,2956
141,190,10,10,4,0,4,----,----,000,2,2,0,2956,2956
141,190,11,10,4,0,4,----,----,000,2,2,0,2956,2956
174,190,7,6,4,0,3,---,---,000,2,2,0,2956,2956
150,190,9,9,4,0,5,-----,-----,000,2,2,0,2956,2956
143,191,1023,10,4,0,4,----,----,000,1,1,0,590,590
185,193,1023,5,4,0,2,--,--,000,1,1,0,590,590
177,193,1023,6,4,0,3,---,---,000,1,1,0,590,590
161,193,1023,8,4,0,4,----,----,000,1,1,0,590,590
208,192,1,2,4,0,2,--,--,000,1,1,0,1478,1478
208,192,2,2,4,0,2,--,--,000,1,1,0,1478,1478
143,192,10,10,4,0,4,----,----,000,1,1,0,1478,1478
143,192,11,10,4,0,4,----,----,000,1,1,0,1478,1478
176,192,7,6,4,0,3,---,---,000,1,1,0,1478,1478
152,192,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
145,193,1023,10,4,0,4,----,----,000,1,1,0,590,590
187,195,1023,5,4,0,2,--,--,000,1,1,0,590,590
179,195,1023,6,4,0,3,---,---,000,1,1,0,590,590
163,195,1023,8,4,0,4,----,----,000,1,1,0,590,590
210,193,1,2,4,0,2,--,--,000,1,1,0,1478,1478
145,193,10,10,4,0,4,----,----,000,1,1,0,1478,1478
210,193,2,2,4,0,2,--,--,000,1,1,0,1478,1478
145,194,11,10,4,0,4,----,----,000,1,1,0,1478,1478
178,194,7,6,4,0,3,---,---,000,1,1,0,1478,1478
154,194,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
147,195,1023,10,4,0,4,----,----,000,1,1,0,590,590
189,197,1023,5,4,0,2,--,--,000,1,1,0,590,590
180,197,1023,6,4,0,3,---,---,000,1,1,0,590,590
165,197,1023,8,4,0,4,----,----,000,1,1,0,590,590
211,195,1,2,4,0,2,--,--,000,1,1,0,1478,1478
211,195,2,2,4,0,2,--,--,000,1,1,0,1478,1478
147,195,10,10,4,0,4,----,----,000,1,1,0,1478,1478
147,195,11,10,4,0,4,----,----,000,1,1,0,1478,1478
179,196,7,6,4,0,3,---,---,000,1,1,0,1478,1478
156,196,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
213,197,1,2,4,0,2,--,--,000,1,1,0,1478,1478
213,197,2,2,4,0,2,--,--,000,1,1,0,1478,1478
149,197,10,10,4,0,4,----,----,000,1,1,0,1478,1478
149,197,11,10,4,0,4,----,----,000,1,1,0,1478,1478
181,197,7,6,4,0,3,---,---,000,1,1,0,1478,1478
157,197,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
215,199,1,2,4,0,2,--,--,000,1,1,0,1478,1478
215,199,2,2,4,0,2,--,--,000,1,1,0,1478,1478
150,199,10,10,4,0,4,----,----,000,1,1,0,1478,1478
150,199,11,10,4,0,4,----,----,000,1,1,0,1478,1478
183,199,7,6,4,0,3,---,---,000,1,1,0,1478,1478
159,199,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
217,200,1,2,4,0,2,--,--,000,1,1,0,1478,1478
217,200,2,2,4,0,2,--,--,000,1,1,0,1478,1478
152,201,10,10,4,0,4,----,----,000,1,1,0,1478,1478
152,201,11,10,4,0,4,----,----,000,1,1,0,1478,1478
185,201,7,6,4,0,3,---,---,000,1,1,0,1478,1478
161,201,9,9,4,0,5,-----,-----,000,1,1,0,1478,1478
149,197,1023,10,4,0,4,----,----,000,1,1,0,590,590
399,375,1023,1,4,0,3,---,---,000,3,1,2,294,98
391,375,1023,2,4,0,2,--,--,000,4,1,3,392,98
384,376,1023,3,4,0,3,---,---,000,3,1,2,294,98
400,376,1023,1,4,0,3,---,---,000,2,1,1,196,98
392,376,1023,2,4,0,2,--,--,000,6,1,5,588,98
384,376,1023,3,4,0,3,---,---,000,11,1,10,1078,98
368,376,1023,5,4,0,2,--,--,000,2,1,1,196,98
360,376,1023,6,4,0,3,---,---,000,2,1,1,196,98
352,376,1023,7,4,0,3,---,---,000,2,1,1,196,98
344,376,1023,8,4,0,4,----,----,000,2,1,1,196,98
336,376,1023,9,4,0,5,-----,-----,000,2,1,1,196,98
328,377,1023,10,4,0,4,----,----,000,2,1,1,196,98
320,377,1023,11,4,0,5,-----,-----,000,2,1,1,196,98
369,377,1023,5,4,0,2,--,--,000,4,1,3,392,98
361,377,1023,6,4,0,3,---,---,000,5,1,4,490,98
354,378,1023,7,4,0,3,---,---,000,2,1,1,196,98
346,378,1023,8,4,0,4,----,----,000,5,1,4,490,98
339,379,1023,9,4,0,5,-----,-----,000,2,1,1,196,98
331,379,1023,10,4,0,4,----,----,000,5,1,4,490,98
