epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
415,347,1,1,9,0,5,-----,-----,000,1,1,0,98,98
408,349,3,2,9,0,5,-----,-----,000,1,1,0,98,98
401,350,5,3,9,0,4,----,----,000,1,1,0,98,98
394,351,7,4,9,0,5,-----,-----,000,1,1,0,98,98
386,352,9,5,9,0,4,----,----,000,1,1,0,98,98
379,353,11,0,9,0,3,---,---,000,1,1,0,98,98
371,355,13,7,9,0,3,---,---,000,1,1,0,98,98
364,356,15,8,9,0,2,--,--,000,1,1,0,98,98
349,357,17,10,9,0,3,---,---,000,1,1,0,98,98
340,357,19,11,9,0,2,--,--,000,1,1,0,98,98
