epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
415,331,1,1,11,0,6,------,------,000,1,1,0,98,98
409,332,6,2,11,0,6,------,------,000,1,1,0,98,98
401,333,8,3,11,0,5,-----,-----,000,1,1,0,98,98
394,335,10,4,11,0,5,-----,-----,000,1,1,0,98,98
386,336,12,5,11,0,4,----,----,000,1,1,0,98,98
379,337,14,0,11,0,4,----,----,000,1,1,0,98,98
372,338,16,7,11,0,3,---,---,000,1,1,0,98,98
364,339,18,8,11,0,3,---,---,000,1,1,0,98,98
357,340,20,9,11,0,2,--,--,000,1,1,0,98,98
350,342,3,10,11,0,2,--,--,000,1,1,0,98,98
