epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
414,372,1,1,0,0,3,---,---,000,1,1,0,98,98
408,374,3,2,0,0,3,---,---,000,1,1,0,98,98
401,375,5,3,0,0,2,--,--,000,1,1,0,98,98
394,376,7,4,0,0,3,---,---,000,1,1,0,98,98
386,377,9,5,0,0,2,--,--,000,1,1,0,98,98
370,379,12,7,0,0,3,---,---,000,1,1,0,98,98
362,379,14,8,0,0,2,--,--,000,1,1,0,98,98
353,379,16,9,0,0,3,---,---,000,1,1,0,98,98
345,379,17,10,0,0,4,----,----,000,1,1,0,98,98
337,379,19,11,0,0,4,----,----,000,1,1,0,98,98
