epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
413,405,1,1,2,0,2,--,--,000,1,1,0,98,98
399,408,4,3,2,0,2,--,--,000,1,1,0,98,98
391,408,6,4,2,0,2,--,--,000,1,1,0,98,98
383,408,8,5,2,0,3,---,---,000,1,1,0,98,98
374,408,10,0,2,0,3,---,---,000,1,1,0,98,98
366,408,12,7,2,0,4,----,----,000,1,1,0,98,98
357,408,14,8,2,0,4,----,----,000,1,1,0,98,98
349,408,16,9,2,0,5,-----,-----,000,1,1,0,98,98
341,409,17,10,2,0,5,-----,-----,000,1,1,0,98,98
332,409,19,11,2,0,6,------,------,000,1,1,0,98,98
