# IntSight report packet log for interface s10-eth2.
[ 157=> 141: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 159=> 143: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 161=> 145: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 163=> 147: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 164=> 148: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 166=> 150: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 152: 1] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 397=> 324:1023] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0003=>0001(002) bits=00002352=>00000784
[ 389=> 325:1023] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 382=> 326:1023] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 374=> 326:1023] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 367=> 327:1023] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 359=> 327:1023] (6 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 352=> 328:1023] (7 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 344=> 328:1023] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 337=> 329:1023] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0003=>0001(002) bits=00002352=>00000784
[ 401=> 329:1023] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 393=> 329:1023] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 385=> 329:1023] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 377=> 329:1023] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 369=> 329:1023] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 361=> 329:1023] (6 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 353=> 329:1023] (7 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 345=> 329:1023] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 337=> 329:1023] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0005=>0001(004) bits=00003920=>00000784
[ 321=> 329:1023] (11 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
