epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
208,225,1023,3,1,0,2,--,--,000,5,4,1,2950,2360
209,225,1023,3,1,0,2,--,--,000,3,2,1,1770,1180
208,224,24,3,1,0,2,--,--,000,1,1,0,1478,1478
217,226,1023,2,1,0,2,--,--,000,4,1,3,2360,590
151,224,129,10,1,0,6,------,------,000,1,1,0,1478,1478
208,224,25,3,1,0,2,--,--,000,2,2,0,2956,2956
151,224,130,10,1,0,6,------,------,000,1,1,0,1478,1478
151,226,131,10,1,0,6,------,------,000,1,1,0,1478,1478
151,226,132,10,1,0,6,------,------,000,1,1,0,1478,1478
151,226,133,10,1,0,6,------,------,000,1,1,0,1478,1478
193,226,1023,5,1,0,4,----,----,000,5,1,4,2950,590
151,226,124,10,1,0,6,c-----,------,000,2,2,0,2956,2956
208,224,26,3,1,0,2,--,--,000,2,2,0,2956,2956
151,226,125,10,1,0,6,c-----,------,000,2,2,0,2956,2956
151,226,126,10,1,0,6,c-----,------,000,2,2,0,2956,2956
208,224,27,3,1,0,2,--,--,000,2,2,0,2956,2956
208,224,28,3,1,0,2,--,--,000,2,2,0,2956,2956
216,224,7,2,1,0,2,--,--,000,1,1,0,1478,1478
151,226,127,10,1,0,6,c-----,------,000,2,2,0,2956,2956
216,224,8,2,1,0,2,--,--,000,1,1,0,1478,1478
216,224,9,2,1,0,2,--,--,000,1,1,0,1478,1478
216,224,10,2,1,0,2,--,--,000,1,1,0,1478,1478
151,226,128,10,1,0,6,c-----,------,000,2,2,0,2956,2956
208,225,29,3,1,0,2,--,--,000,2,2,0,2956,2956
208,224,30,3,1,0,2,--,--,000,1,1,0,1478,1478
216,225,11,2,1,0,2,--,--,000,1,1,0,1478,1478
208,225,32,3,1,0,2,--,--,000,1,1,0,1478,1478
167,224,103,8,1,0,4,----,----,000,1,1,0,1478,1478
216,226,12,2,1,0,2,--,--,000,1,1,0,1478,1478
217,226,15,2,1,0,2,--,--,000,1,1,0,1478,1478
200,226,39,4,1,0,3,---,---,000,2,2,0,2956,2956
200,226,40,4,1,0,3,---,---,000,2,2,0,2956,2956
200,225,41,4,1,0,3,---,---,000,1,1,0,1478,1478
200,226,42,4,1,0,3,---,---,000,2,2,0,2956,2956
200,226,43,4,1,0,3,---,---,000,2,2,0,2956,2956
192,226,49,5,1,0,4,----,----,000,1,1,0,1478,1478
152,226,129,10,1,0,6,c-----,------,000,1,1,0,1478,1478
192,226,50,5,1,0,4,----,----,000,2,2,0,2956,2956
152,226,130,10,1,0,6,c-----,------,000,1,1,0,1478,1478
192,226,51,5,1,0,4,----,----,000,2,2,0,2956,2956
152,226,131,10,1,0,6,c-----,------,000,1,1,0,1478,1478
218,227,1023,2,1,0,2,-c,--,000,8,3,5,4720,1770
192,226,52,5,1,0,4,----,----,000,1,1,0,1478,1478
192,226,55,5,1,0,4,----,----,000,1,1,0,1478,1478
192,226,56,5,1,0,4,----,----,000,1,1,0,1478,1478
152,226,132,10,1,0,6,c-----,------,000,1,1,0,1478,1478
143,224,152,11,1,0,6,------,------,000,1,1,0,1478,1478
143,224,153,11,1,0,6,------,------,000,1,1,0,1478,1478
143,224,154,11,1,0,6,------,------,000,1,1,0,1478,1478
152,226,133,10,1,0,6,c-----,------,000,1,1,0,1478,1478
143,226,155,11,1,0,6,------,------,000,1,1,0,1478,1478
210,226,24,3,1,0,2,--,--,000,1,1,0,1478,1478
210,226,25,3,1,0,2,--,--,000,1,1,0,1478,1478
219,228,1023,2,1,0,2,--,--,000,6,1,5,3540,590
218,226,7,2,1,0,2,--,--,000,1,1,0,1478,1478
210,226,26,3,1,0,2,--,--,000,1,1,0,1478,1478
218,227,8,2,1,0,2,--,--,000,1,1,0,1478,1478
210,226,27,3,1,0,2,--,--,000,1,1,0,1478,1478
210,226,28,3,1,0,2,--,--,000,1,1,0,1478,1478
218,227,9,2,1,0,2,--,--,000,1,1,0,1478,1478
210,227,29,3,1,0,2,-c,--,000,1,1,0,1478,1478
218,227,10,2,1,0,2,-c,--,000,1,1,0,1478,1478
210,227,30,3,1,0,2,-c,--,000,1,1,0,1478,1478
210,227,31,3,1,0,2,-c,--,000,1,1,0,1478,1478
210,227,32,3,1,0,2,-c,--,000,1,1,0,1478,1478
143,228,148,11,1,0,6,--c--c,------,000,2,2,0,2956,2956
218,227,11,2,1,0,2,-c,--,000,1,1,0,1478,1478
143,227,149,11,1,0,6,--c--c,------,000,2,2,0,2956,2956
143,228,150,11,1,0,6,--c---,------,000,2,2,0,2956,2956
143,228,151,11,1,0,6,--c---,------,000,2,2,0,2956,2956
168,227,103,8,1,0,4,---c,----,000,1,1,0,1478,1478
183,224,65,6,1,0,3,---,---,000,1,1,0,1478,1478
183,224,66,6,1,0,3,---,---,000,1,1,0,1478,1478
218,227,12,2,1,0,2,-c,--,000,1,1,0,1478,1478
183,224,67,6,1,0,3,---,---,000,1,1,0,1478,1478
218,227,13,2,1,0,2,-c,--,000,1,1,0,1478,1478
218,227,14,2,1,0,2,-c,--,000,1,1,0,1478,1478
218,227,15,2,1,0,2,-c,--,000,1,1,0,1478,1478
183,224,68,6,1,0,3,---,---,000,1,1,0,1478,1478
184,225,69,6,1,0,3,---,---,000,1,1,0,1478,1478
176,226,85,7,1,0,5,-----,-----,000,1,1,0,1478,1478
184,225,72,6,1,0,3,---,---,000,1,1,0,1478,1478
168,225,104,8,1,0,4,----,----,000,1,1,0,1478,1478
176,226,88,7,1,0,5,-----,-----,000,1,1,0,1478,1478
176,226,89,7,1,0,5,-----,-----,000,1,1,0,1478,1478
169,228,1023,8,1,0,4,----,----,000,4,1,3,2360,590
178,229,1023,7,1,0,5,-----,-----,000,8,3,5,4720,1770
168,227,105,8,1,0,4,---c,----,000,2,2,0,2956,2956
168,227,106,8,1,0,4,---c,----,000,2,2,0,2956,2956
168,226,107,8,1,0,4,----,----,000,1,1,0,1478,1478
154,230,1023,10,1,0,6,-----c,------,000,10,2,8,5900,1180
168,227,108,8,1,0,4,---c,----,000,2,2,0,2956,2956
179,230,1023,7,1,0,5,-----,-----,000,3,1,2,1770,590
168,226,109,8,1,0,4,----,----,000,1,1,0,1478,1478
153,226,124,10,1,0,6,------,------,000,1,1,0,1478,1478
204,230,1023,4,1,0,3,--c,---,000,2,1,1,1180,590
202,227,39,4,1,0,3,--c,---,000,1,1,0,1478,1478
168,227,110,8,1,0,4,---c,----,000,1,1,0,1478,1478
153,226,125,10,1,0,6,------,------,000,1,1,0,1478,1478
160,228,115,9,1,0,5,-c---,-----,000,2,2,0,2956,2956
153,226,126,10,1,0,6,------,------,000,1,1,0,1478,1478
202,227,40,4,1,0,3,--c,---,000,1,1,0,1478,1478
160,228,116,9,1,0,5,-c---,-----,000,2,2,0,2956,2956
160,228,117,9,1,0,5,-c---,-----,000,2,2,0,2956,2956
212,228,24,3,1,0,2,--,--,000,1,1,0,1478,1478
202,227,41,4,1,0,3,--c,---,000,1,1,0,1478,1478
212,228,25,3,1,0,2,--,--,000,1,1,0,1478,1478
160,228,118,9,1,0,5,-c--c,-----,000,2,2,0,2956,2956
212,228,26,3,1,0,2,--,--,000,1,1,0,1478,1478
212,228,27,3,1,0,2,--,--,000,1,1,0,1478,1478
212,228,28,3,1,0,2,--,--,000,1,1,0,1478,1478
194,228,49,5,1,0,4,----,----,000,1,1,0,1478,1478
194,228,50,5,1,0,4,----,----,000,1,1,0,1478,1478
220,228,7,2,1,0,2,--,--,000,1,1,0,1478,1478
220,228,8,2,1,0,2,--,--,000,1,1,0,1478,1478
220,228,9,2,1,0,2,--,--,000,1,1,0,1478,1478
220,228,10,2,1,0,2,--,--,000,1,1,0,1478,1478
160,227,119,9,1,0,5,-c--c,-----,000,1,1,0,1478,1478
212,228,29,3,1,0,2,--,--,000,1,1,0,1478,1478
212,228,30,3,1,0,2,--,--,000,1,1,0,1478,1478
194,228,51,5,1,0,4,----,----,000,1,1,0,1478,1478
220,228,11,2,1,0,2,--,--,000,1,1,0,1478,1478
212,228,31,3,1,0,2,--,--,000,1,1,0,1478,1478
212,228,32,3,1,0,2,--,--,000,1,1,0,1478,1478
220,229,12,2,1,0,2,--,--,000,1,1,0,1478,1478
144,228,152,11,1,0,6,--c---,------,000,1,1,0,1478,1478
144,228,153,11,1,0,6,--c---,------,000,1,1,0,1478,1478
144,228,154,11,1,0,6,--c---,------,000,1,1,0,1478,1478
144,228,155,11,1,0,6,--c---,------,000,1,1,0,1478,1478
195,230,1023,5,1,0,4,---c,----,000,7,1,6,4130,590
220,229,13,2,1,0,2,--,--,000,1,1,0,1478,1478
220,229,14,2,1,0,2,--,--,000,1,1,0,1478,1478
153,227,127,10,1,0,6,------,------,000,1,1,0,1478,1478
146,231,1023,11,1,0,6,-----c,------,000,5,1,4,2950,590
220,229,15,2,1,0,2,--,--,000,1,1,0,1478,1478
145,228,148,11,1,0,6,------,------,000,1,1,0,1478,1478
145,228,149,11,1,0,6,------,------,000,1,1,0,1478,1478
171,231,1023,8,1,0,4,---c,----,000,3,1,2,1770,590
170,229,103,8,1,0,4,----,----,000,1,1,0,1478,1478
186,229,65,6,1,0,3,---,---,000,1,1,0,1478,1478
186,229,66,6,1,0,3,---,---,000,1,1,0,1478,1478
186,229,67,6,1,0,3,---,---,000,1,1,0,1478,1478
202,228,42,4,1,0,3,--c,---,000,1,1,0,1478,1478
