# IntSight report packet log for interface s10-eth2.
[ 213=> 141: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 181=> 142: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 181=> 142: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 181=> 142: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 157=> 142:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 181=> 142: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 206=> 142: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 149=> 142:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 190=> 142: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 198=> 142: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 198=> 142: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0002(000) bits=00023648=>00023648
[ 215=> 143: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 183=> 143: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 183=> 143: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 183=> 143: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 183=> 143: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 159=> 143:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 151=> 144:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 208=> 143: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 192=> 144: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 200=> 144: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 200=> 144: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 217=> 145: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 185=> 145: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 185=> 145: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 185=> 145: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 185=> 145: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 161=> 145:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 209=> 145: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 153=> 145:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 193=> 146: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 202=> 146: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 202=> 146: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 219=> 147: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 187=> 147: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 187=> 147: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 187=> 147: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 163=> 147:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 187=> 147: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 211=> 147: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 155=> 147:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 195=> 147: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 204=> 147: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 204=> 147: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 168=> 144:1023] (7 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0001(001) bits=00009440=>00004720
[ 173=> 149:1023] (7 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0001(001) bits=00009440=>00004720
[ 157=> 149:1023] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0003=>0001(002) bits=00014160=>00004720
[ 173=> 149:1023] (7 => 10, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0003=>0001(002) bits=00014160=>00004720
[ 181=> 149:1023] (6 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0001(001) bits=00009440=>00004720
[ 221=> 148: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 189=> 149: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 189=> 149: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 189=> 149: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 189=> 149: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 165=> 149:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 213=> 149: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 157=> 149:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 197=> 149: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 205=> 149: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 205=> 149: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 222=> 150: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 190=> 150: 9] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 190=> 150: 6] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 190=> 150: 7] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 190=> 150: 8] (5 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 166=> 151:13] (8 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 215=> 151: 2] (2 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 159=> 151:17] (9 => 10, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 199=> 151: 5] (4 => 10, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 207=> 151: 3] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 207=> 151: 4] (3 => 10, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
[ 224=> 152: 1] (1 => 10, p=0, len=6, cps=------, sps=------) hd=000 pkts=0001=>0001(000) bits=00011824=>00011824
