epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
167,160,117,8,9,0,2,--,--,000,1,1,0,1478,1478
167,160,118,8,9,0,2,--,--,000,1,1,0,1478,1478
167,160,119,8,9,0,2,--,--,000,1,1,0,1478,1478
167,160,120,8,9,0,2,--,--,000,1,1,0,1478,1478
167,160,121,8,9,0,2,--,--,000,1,1,0,1478,1478
144,160,1023,11,9,0,2,--,--,000,3,2,1,1770,1180
152,161,1023,10,9,0,3,---,---,000,3,2,1,1770,1180
168,161,1023,8,9,0,2,--,--,000,1,1,0,590,590
144,160,153,11,9,0,2,--,--,000,1,1,0,1478,1478
144,161,154,11,9,0,2,--,--,000,1,1,0,1478,1478
152,161,1023,10,9,0,3,---,---,000,6,1,5,3540,590
145,161,1023,11,9,0,2,--,--,000,1,1,0,590,590
168,161,1023,8,9,0,2,c-,--,000,4,3,1,2360,1770
191,160,65,5,9,0,4,----,----,000,1,1,0,1478,1478
152,160,137,10,9,0,3,---,---,000,1,1,0,1478,1478
169,161,1023,8,9,0,2,--,--,000,2,2,0,1180,1180
144,160,152,11,9,0,2,--,--,000,1,1,0,1478,1478
167,160,116,8,9,0,2,--,--,000,2,2,0,2956,2956
168,160,117,8,9,0,2,--,--,000,1,1,0,1478,1478
168,160,118,8,9,0,2,--,--,000,1,1,0,1478,1478
152,160,138,10,9,0,3,---,---,000,1,1,0,1478,1478
145,161,153,11,9,0,2,--,--,000,1,1,0,1478,1478
152,160,139,10,9,0,3,---,---,000,1,1,0,1478,1478
152,160,140,10,9,0,3,---,---,000,1,1,0,1478,1478
168,160,119,8,9,0,2,--,--,000,1,1,0,1478,1478
168,160,120,8,9,0,2,--,--,000,1,1,0,1478,1478
145,161,154,11,9,0,2,--,--,000,1,1,0,1478,1478
145,161,155,11,9,0,2,--,--,000,1,1,0,1478,1478
168,160,121,8,9,0,2,--,--,000,1,1,0,1478,1478
152,160,141,10,9,0,3,---,---,000,1,1,0,1478,1478
152,160,142,10,9,0,3,---,---,000,1,1,0,1478,1478
145,161,158,11,9,0,2,--,--,000,1,1,0,1478,1478
177,162,1023,7,9,0,3,-c-,---,000,4,2,2,2360,1180
176,161,100,7,9,0,3,---,---,000,1,1,0,1478,1478
176,161,101,7,9,0,3,-c-,---,000,1,1,0,1478,1478
185,163,1023,6,9,0,3,cc-,---,000,2,1,1,1180,590
155,163,1023,10,9,0,3,---,---,000,5,1,4,2950,590
176,162,105,7,9,0,3,-c-,---,000,1,1,0,1478,1478
147,163,1023,11,9,0,2,--,--,000,5,1,4,2950,590
225,163,1023,1,9,0,5,-cccc,-----,000,6,1,5,3540,590
207,159,37,3,9,0,4,----,----,000,1,1,0,1478,1478
155,164,1023,10,9,0,3,--c,---,000,9,1,8,5310,590
207,161,38,3,9,0,4,c---,----,000,2,2,0,2956,2956
201,164,1023,4,9,0,5,--ccc,-----,000,6,1,5,3540,590
154,162,137,10,9,0,3,---,---,000,1,1,0,1478,1478
207,161,39,3,9,0,4,c---,----,000,2,2,0,2956,2956
154,162,138,10,9,0,3,---,---,000,1,1,0,1478,1478
192,161,65,5,9,0,4,----,----,000,1,1,0,1478,1478
186,164,1023,6,9,0,3,ccc,---,000,3,1,2,1770,590
154,162,139,10,9,0,3,---,---,000,1,1,0,1478,1478
154,162,140,10,9,0,3,---,---,000,1,1,0,1478,1478
154,162,141,10,9,0,3,---,---,000,1,1,0,1478,1478
