epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
144,152,1023,11,10,0,2,--,--,000,6,2,4,3540,1180
176,153,127,7,10,0,2,--,--,000,1,1,0,1478,1478
168,152,1023,8,10,0,3,---,---,000,7,1,6,4130,590
145,154,1023,11,10,0,2,--,--,000,4,2,2,2360,1180
161,154,1023,9,10,0,3,---,---,000,2,1,1,1180,590
160,152,161,9,10,0,3,---,---,000,2,2,0,2956,2956
160,152,162,9,10,0,3,---,---,000,2,2,0,2956,2956
160,152,163,9,10,0,3,---,---,000,2,2,0,2956,2956
160,152,164,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,165,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,166,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,167,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,168,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,169,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,170,9,10,0,3,---,---,000,2,2,0,2956,2956
160,153,171,9,10,0,3,---,---,000,2,2,0,2956,2956
162,154,1023,9,10,0,3,---,---,000,2,1,1,1180,590
147,155,1023,11,10,0,2,--,--,000,3,1,2,1770,590
192,155,1023,5,10,0,3,---,---,000,8,1,7,4720,590
163,155,1023,9,10,0,3,---,---,000,2,2,0,1180,1180
145,153,181,11,10,0,2,--,--,000,1,1,0,1478,1478
145,153,182,11,10,0,2,--,--,000,1,1,0,1478,1478
168,154,143,8,10,0,3,---,---,000,1,1,0,1478,1478
145,154,183,11,10,0,2,--,--,000,2,2,0,2956,2956
145,154,184,11,10,0,2,--,--,000,2,2,0,2956,2956
145,153,185,11,10,0,2,--,--,000,1,1,0,1478,1478
145,154,186,11,10,0,2,--,--,000,1,1,0,1478,1478
145,153,187,11,10,0,2,--,--,000,1,1,0,1478,1478
177,155,1023,7,10,0,2,--,--,000,1,1,0,590,590
147,156,1023,11,10,0,2,--,--,000,7,1,6,4130,590
162,154,161,9,10,0,3,---,---,000,1,1,0,1478,1478
176,153,115,7,10,0,2,--,--,000,2,2,0,2956,2956
176,153,116,7,10,0,2,--,--,000,2,2,0,2956,2956
176,153,117,7,10,0,2,--,--,000,2,2,0,2956,2956
176,153,118,7,10,0,2,--,--,000,2,2,0,2956,2956
176,154,119,7,10,0,2,--,--,000,2,2,0,2956,2956
176,152,120,7,10,0,2,--,--,000,1,1,0,1478,1478
162,154,162,9,10,0,3,---,---,000,1,1,0,1478,1478
176,152,121,7,10,0,2,--,--,000,1,1,0,1478,1478
176,152,122,7,10,0,2,--,--,000,1,1,0,1478,1478
176,152,123,7,10,0,2,--,--,000,1,1,0,1478,1478
200,156,82,4,10,0,4,-cc-,----,000,1,1,0,1478,1478
162,154,163,9,10,0,3,---,---,000,1,1,0,1478,1478
162,154,164,9,10,0,3,---,---,000,1,1,0,1478,1478
162,154,165,9,10,0,3,---,---,000,1,1,0,1478,1478
