epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
175,191,103,7,5,0,2,--,--,000,1,1,0,1478,1478
175,192,104,7,5,0,2,--,--,000,1,1,0,1478,1478
175,191,105,7,5,0,2,--,--,000,1,1,0,1478,1478
175,191,106,7,5,0,2,--,--,000,1,1,0,1478,1478
175,191,107,7,5,0,2,--,--,000,1,1,0,1478,1478
175,192,108,7,5,0,2,--,--,000,1,1,0,1478,1478
175,192,110,7,5,0,2,--,--,000,1,1,0,1478,1478
152,193,1023,10,5,0,3,--c,---,000,1,1,0,590,590
176,193,1023,7,5,0,2,-c,--,000,6,1,5,3540,590
177,193,1023,7,5,0,2,-c,--,000,1,1,0,590,590
153,193,1023,10,5,0,3,--c,---,000,3,2,1,1770,1180
145,193,1023,11,5,0,4,---c,----,000,1,1,0,590,590
151,191,145,10,5,0,3,---,---,000,2,2,0,2956,2956
151,191,146,10,5,0,3,---,---,000,2,2,0,2956,2956
151,191,147,10,5,0,3,---,---,000,2,2,0,2956,2956
151,191,148,10,5,0,3,---,---,000,2,2,0,2956,2956
184,193,1023,6,5,0,2,-c,--,000,8,1,7,4720,590
185,194,1023,6,5,0,2,-c,--,000,4,1,3,2360,590
159,191,138,9,5,0,4,----,----,000,2,2,0,2956,2956
176,192,103,7,5,0,2,--,--,000,1,1,0,1478,1478
176,192,104,7,5,0,2,--,--,000,1,1,0,1478,1478
183,191,83,6,5,0,2,--,--,000,1,1,0,1478,1478
176,192,105,7,5,0,2,-c,--,000,1,1,0,1478,1478
169,194,1023,8,5,0,3,--c,---,000,1,1,0,590,590
176,192,106,7,5,0,2,-c,--,000,1,1,0,1478,1478
176,192,107,7,5,0,2,-c,--,000,1,1,0,1478,1478
183,192,84,6,5,0,2,--,--,000,1,1,0,1478,1478
159,191,139,9,5,0,4,----,----,000,2,2,0,2956,2956
176,192,108,7,5,0,2,-c,--,000,1,1,0,1478,1478
159,191,140,9,5,0,4,----,----,000,2,2,0,2956,2956
175,192,109,7,5,0,2,--,--,000,1,1,0,1478,1478
183,192,85,6,5,0,2,--,--,000,1,1,0,1478,1478
176,192,110,7,5,0,2,-c,--,000,1,1,0,1478,1478
184,193,86,6,5,0,2,-c,--,000,2,2,0,2956,2956
184,192,87,6,5,0,2,--,--,000,1,1,0,1478,1478
184,193,89,6,5,0,2,-c,--,000,1,1,0,1478,1478
159,191,141,9,5,0,4,----,----,000,2,2,0,2956,2956
200,192,53,4,5,0,2,--,--,000,1,1,0,1478,1478
200,192,54,4,5,0,2,-c,--,000,1,1,0,1478,1478
184,193,90,6,5,0,2,-c,--,000,1,1,0,1478,1478
144,193,157,11,5,0,4,---c,----,000,2,2,0,2956,2956
144,193,158,11,5,0,4,c--c,----,000,1,1,0,1478,1478
184,192,91,6,5,0,2,--,--,000,1,1,0,1478,1478
144,193,159,11,5,0,4,---c,----,000,2,2,0,2956,2956
184,192,92,6,5,0,2,--,--,000,1,1,0,1478,1478
159,191,142,9,5,0,4,----,----,000,2,2,0,2956,2956
144,193,160,11,5,0,4,---c,----,000,2,2,0,2956,2956
200,192,55,4,5,0,2,-c,--,000,1,1,0,1478,1478
200,192,56,4,5,0,2,-c,--,000,1,1,0,1478,1478
144,193,161,11,5,0,4,---c,----,000,1,1,0,1478,1478
144,193,162,11,5,0,4,---c,----,000,1,1,0,1478,1478
144,193,163,11,5,0,4,---c,----,000,2,2,0,2956,2956
144,193,164,11,5,0,4,---c,----,000,2,2,0,2956,2956
200,193,57,4,5,0,2,-c,--,000,1,1,0,1478,1478
201,194,1023,4,5,0,2,--,--,000,4,4,0,2360,2360
200,193,58,4,5,0,2,-c,--,000,1,1,0,1478,1478
184,193,93,6,5,0,2,-c,--,000,1,1,0,1478,1478
159,192,143,9,5,0,4,----,----,000,2,2,0,2956,2956
184,193,94,6,5,0,2,-c,--,000,2,2,0,2956,2956
217,195,1023,2,5,0,3,c-c,---,000,4,2,2,2360,1180
153,194,145,10,5,0,3,--c,---,000,1,1,0,1478,1478
153,194,146,10,5,0,3,--c,---,000,1,1,0,1478,1478
159,192,144,9,5,0,4,----,----,000,2,2,0,2956,2956
153,194,147,10,5,0,3,--c,---,000,1,1,0,1478,1478
179,195,1023,7,5,0,2,-c,--,000,2,1,1,1180,590
153,194,148,10,5,0,3,--c,---,000,1,1,0,1478,1478
168,192,120,8,5,0,3,--c,---,000,1,1,0,1478,1478
162,196,1023,9,5,0,4,---c,----,000,3,3,0,1770,1770
224,195,1,1,5,0,4,-c-c,----,000,2,2,0,2956,2956
224,195,2,1,5,0,4,-c-c,----,000,2,2,0,2956,2956
168,193,121,8,5,0,3,--c,---,000,1,1,0,1478,1478
224,195,3,1,5,0,4,-c-c,----,000,2,2,0,2956,2956
